,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Defect_of_vehicle,Area_accident_occured,Types_of_Junction,Number_of_casualties,Sex_of_casualty,Cause_of_accident,Accident_severity
10047,18-30,Male,Junior high school,Above 10yr,No defect,Office areas,Y Shape,1,na,Changing lane to the left,Slight Injury
10048,Over 51,Male,Elementary school,2-5yr,No defect,Office areas,Crossing,5,Male,Moving Backward,Serious Injury
10049,Over 51,Male,Elementary school,Above 10yr,No defect,Other,Crossing,5,na,No distancing,Serious Injury
10050,Over 51,Male,Junior high school,1-2yr,No defect,Other,Crossing,5,Female,Moving Backward,Serious Injury
10051,Over 51,Male,Junior high school,5-10yr,,Other,Crossing,5,na,Changing lane to the right,Serious Injury
10052,Over 51,Male,Junior high school,2-5yr,,Residential areas,Crossing,5,Male,Changing lane to the left,Serious Injury
10053,18-30,Female,Junior high school,2-5yr,,School areas,Crossing,5,na,No priority to vehicle,Serious Injury
10054,18-30,Male,Junior high school,2-5yr,,Residential areas,Y Shape,2,Female,No distancing,Slight Injury
10055,18-30,Male,Junior high school,2-5yr,No defect,Office areas,Y Shape,2,Male,No priority to vehicle,Slight Injury
10056,Over 51,Male,Junior high school,Above 10yr,No defect, Church areas,Crossing,1,na,Driving under the influence of drugs,Serious Injury
10057,31-50,Male,Junior high school,Above 10yr,No defect,Other,No junction,1,Female,Changing lane to the right,Slight Injury
10058,Over 51,Male,Elementary school,5-10yr,No defect,Other,Y Shape,1,Female,No distancing,Slight Injury
10059,18-30,Male,Junior high school,Above 10yr,No defect,Other,Y Shape,1,Male,No distancing,Slight Injury
10060,31-50,Male,Elementary school,2-5yr,No defect,Other,No junction,1,na,Changing lane to the left,Slight Injury
10061,Unknown,Female,Junior high school,5-10yr,No defect,Office areas,No junction,1,Female,Changing lane to the right,Slight Injury
10062,Under 18,Male,Junior high school,Below 1yr,No defect,Office areas,Y Shape,1,na,Changing lane to the right,Slight Injury
10063,18-30,Male,Junior high school,5-10yr,No defect,Residential areas,Y Shape,1,Male,Driving under the influence of drugs,Slight Injury
10064,18-30,Male,High school,Above 10yr,No defect,Office areas,Y Shape,1,na,Moving Backward,Slight Injury
10065,31-50,Male,Junior high school,5-10yr,No defect,Residential areas,Y Shape,1,Female,Changing lane to the left,Slight Injury
10066,18-30,Male,Elementary school,1-2yr,No defect,Office areas,No junction,1,Male,No priority to pedestrian,Slight Injury
10067,Under 18,Male,Junior high school,,No defect,Other,No junction,1,na,No distancing,Slight Injury
10068,Over 51,Male,Above high school,1-2yr,No defect,Office areas,No junction,1,Male,No distancing,Slight Injury
10069,18-30,Male,Junior high school,Above 10yr,No defect,School areas,Y Shape,1,na,Changing lane to the left,Slight Injury
10070,18-30,Female,Junior high school,1-2yr,,Residential areas,Y Shape,1,Male,Changing lane to the right,Slight Injury
10071,18-30,Male,Junior high school,5-10yr,,Office areas,Y Shape,1,na,Driving carelessly,Slight Injury
10072,31-50,Male,Junior high school,2-5yr,No defect,Residential areas,No junction,3,Female,No distancing,Slight Injury
10073,Over 51,Male,,,,Office areas,No junction,3,na,Changing lane to the left,Slight Injury
10074,Over 51,Male,Junior high school,2-5yr,,Residential areas,No junction,3,Female,Moving Backward,Slight Injury
10075,31-50,Male,Junior high school,2-5yr,No defect,Other,No junction,1,Female,No distancing,Serious Injury
10076,Over 51,Male,Junior high school,Above 10yr,,Other,Other,1,na,No priority to pedestrian,Slight Injury
10077,Under 18,Male,Junior high school,1-2yr,,Office areas,Other,1,Male,Changing lane to the left,Slight Injury
10078,31-50,Male,Above high school,1-2yr,No defect,Office areas,Crossing,1,Female,No distancing,Slight Injury
10079,Over 51,Male,Above high school,No Licence,No defect,Residential areas,Crossing,1,na,Driving carelessly,Slight Injury
10080,31-50,Male,Junior high school,1-2yr,No defect,Other,Crossing,2,na,No priority to vehicle,Slight Injury
10081,Over 51,Male,Junior high school,5-10yr,No defect,Other,Crossing,2,Female,Changing lane to the right,Slight Injury
10082,Unknown,Female,Junior high school,Above 10yr,No defect,Office areas,Crossing,2,na,Moving Backward,Slight Injury
10083,18-30,Male,Junior high school,Above 10yr,No defect,Office areas,Y Shape,3,Male,No priority to vehicle,Slight Injury
10084,18-30,Male,Junior high school,5-10yr,No defect, Church areas,Y Shape,3,na,No priority to pedestrian,Slight Injury
10085,Unknown,Female,Elementary school,2-5yr,No defect,Other,Y Shape,3,na,Changing lane to the left,Slight Injury
10086,Unknown,Female,Junior high school,2-5yr,No defect,Office areas,No junction,1,Male,Changing lane to the left,Slight Injury
10087,18-30,Male,Junior high school,Below 1yr,,Office areas,No junction,1,na,Driving under the influence of drugs,Slight Injury
10088,18-30,Male,Junior high school,2-5yr,,Residential areas,Y Shape,1,Male,Moving Backward,Slight Injury
10089,18-30,Male,Junior high school,2-5yr,,Other,Y Shape,1,Male,Changing lane to the right,Slight Injury
10090,Unknown,Female,Elementary school,5-10yr,,Residential areas,Y Shape,1,Female,Changing lane to the right,Slight Injury
10091,Unknown,Female,Junior high school,Above 10yr,,Office areas,Y Shape,1,na,No distancing,Slight Injury
10092,18-30,Male,,,,Office areas,Y Shape,1,Male,Moving Backward,Serious Injury
10093,31-50,Male,Junior high school,2-5yr,,Other,Y Shape,1,na,No distancing,Serious Injury
10094,31-50,Male,Junior high school,5-10yr,No defect,Other,Y Shape,1,na,Driving carelessly,Slight Injury
10095,31-50,Male,Above high school,2-5yr,,Office areas,Crossing,2,Female,No priority to pedestrian,Slight Injury
10096,18-30,Male,,,No defect,Residential areas,Crossing,2,Male,No priority to vehicle,Slight Injury
10097,31-50,Male,,1-2yr,No defect,Other,Crossing,2,na,Moving Backward,Slight Injury
10098,31-50,Male,Junior high school,2-5yr,,Residential areas,Crossing,2,Male,Changing lane to the right,Slight Injury
10099,31-50,Male,Junior high school,Above 10yr,No defect, Church areas,No junction,1,na,No distancing,Slight Injury
10100,31-50,Male,Junior high school,Below 1yr,No defect,Residential areas,No junction,1,na,Driving carelessly,Slight Injury
10101,31-50,Male,Junior high school,2-5yr,No defect,Office areas,No junction,1,Male,Changing lane to the left,Slight Injury
10102,18-30,Male,Junior high school,Below 1yr,No defect,Residential areas,Crossing,2,Male,Moving Backward,Slight Injury
10103,18-30,Male,High school,5-10yr,No defect,Other,Crossing,2,Male,No distancing,Slight Injury
10104,18-30,Male,Above high school,1-2yr,, Industrial areas,Crossing,2,na,Changing lane to the right,Slight Injury
10105,Over 51,Male,Junior high school,Below 1yr,, Church areas,Y Shape,2,Male,No priority to vehicle,Slight Injury
10106,31-50,Male,,,No defect,Residential areas,Y Shape,2,Male,Getting off the vehicle improperly,Slight Injury
10107,31-50,Male,High school,Below 1yr,,,Y Shape,2,na,No distancing,Slight Injury
10108,31-50,Male,High school,Below 1yr,,,Y Shape,1,Female,No distancing,Fatal injury
10109,18-30,Male,,,No defect,Office areas,Y Shape,1,na,Changing lane to the left,Fatal injury
10110,31-50,Male,High school,2-5yr,No defect, Outside rural areas,Y Shape,1,na,No priority to vehicle,Slight Injury
10111,18-30,Male,Junior high school,Above 10yr,No defect, Church areas,Y Shape,1,Male,Driving carelessly,Slight Injury
10112,31-50,Male,Junior high school,Above 10yr,No defect,Office areas,Other,1,Male,Changing lane to the right,Serious Injury
10113,31-50,Male,Junior high school,5-10yr,, Church areas,Other,1,Female,No distancing,Serious Injury
10114,Under 18,Male,Junior high school,1-2yr,,Office areas,Y Shape,3,Male,Changing lane to the right,Slight Injury
10115,Under 18,Male,Unknown,Below 1yr,No defect,Office areas,Y Shape,3,na,No distancing,Slight Injury
10116,Under 18,Male,Junior high school,Below 1yr,No defect,School areas,Y Shape,3,Male,Driving under the influence of drugs,Slight Injury
10117,18-30,Male,High school,2-5yr,No defect,Residential areas,No junction,1,Female,Changing lane to the left,Serious Injury
10118,31-50,Male,Junior high school,1-2yr,No defect,Office areas,Y Shape,1,na,Getting off the vehicle improperly,Serious Injury
10119,31-50,Male,Junior high school,5-10yr,No defect,Rural village areasOffice areas,Y Shape,1,Male,Overloading,Serious Injury
10120,Under 18,Male,Elementary school,2-5yr,No defect,Other,No junction,1,na,Driving carelessly,Serious Injury
10121,31-50,Male,Elementary school,5-10yr,No defect,Residential areas,Crossing,2,Male,Overtaking,Slight Injury
10122,18-30,Male,Junior high school,Above 10yr,No defect,Office areas,Crossing,2,Female,No distancing,Slight Injury
10123,Under 18,Male,Junior high school,5-10yr,No defect,Office areas,Y Shape,2,Male,Overturning,Serious Injury
10124,Under 18,Male,High school,5-10yr,No defect,Residential areas,Y Shape,2,na,Driving carelessly,Serious Injury
10125,Under 18,Male,Junior high school,5-10yr,No defect,Office areas,No junction,2,Male,No priority to pedestrian,Serious Injury
10126,Under 18,Male,Junior high school,Above 10yr,No defect,Office areas,No junction,2,na,No distancing,Serious Injury
10127,18-30,Male,Junior high school,1-2yr,No defect,Office areas,No junction,2,na,No priority to vehicle,Serious Injury
10128,31-50,Male,Junior high school,2-5yr,No defect,Office areas,No junction,2,Male,Getting off the vehicle improperly,Fatal injury
10129,31-50,Male,Junior high school,1-2yr,No defect,Other,No junction,2,na,No priority to pedestrian,Fatal injury
10130,Unknown,Female,,,No defect,Other,Y Shape,1,Male,Changing lane to the right,Slight Injury
10131,Under 18,Male,Elementary school,5-10yr,,Other,Y Shape,1,Male,Moving Backward,Slight Injury
10132,Over 51,Male,Junior high school,5-10yr,,Residential areas,Y Shape,2,na,Changing lane to the left,Slight Injury
10133,18-30,Male,Junior high school,Above 10yr,,School areas,Y Shape,2,Male,No distancing,Slight Injury
10134,31-50,Male,Junior high school,2-5yr,,Residential areas,Y Shape,1,na,Driving carelessly,Serious Injury
10135,Over 51,Male,Junior high school,Above 10yr,No defect,Office areas,Y Shape,1,Male,Driving under the influence of drugs,Serious Injury
10136,Unknown,Female,Junior high school,2-5yr,No defect, Church areas,Y Shape,1,na,Driving carelessly,Slight Injury
10137,Under 18,Male,Elementary school,5-10yr,No defect,Other,Y Shape,1,Male,Driving carelessly,Slight Injury
10138,Over 51,Male,Elementary school,5-10yr,No defect,Other,No junction,1,Female,Changing lane to the right,Slight Injury
10139,Unknown,Female,Junior high school,5-10yr,No defect,Other,No junction,1,Male,No distancing,Serious Injury
10140,31-50,Male,Junior high school,5-10yr,No defect,Other,No junction,3,Female,Driving carelessly,Slight Injury
10141,31-50,Male,Elementary school,Above 10yr,No defect,Office areas,No junction,3,Male,No priority to pedestrian,Slight Injury
10142,31-50,Male,Junior high school,Below 1yr,No defect,Office areas,No junction,3,na,No distancing,Slight Injury
10143,18-30,Male,Junior high school,5-10yr,No defect,Residential areas,No junction,3,Female,Moving Backward,Slight Injury
10144,18-30,Male,Elementary school,1-2yr,No defect,Office areas,No junction,1,na,Moving Backward,Slight Injury
10145,18-30,Male,Junior high school,Above 10yr,No defect,Residential areas,No junction,1,na,No priority to vehicle,Slight Injury
10146,Under 18,Male,Elementary school,2-5yr,No defect,Office areas,Other,1,Male,No distancing,Slight Injury
10147,Over 51,Male,Junior high school,5-10yr,No defect,Other,Other,1,Male,Moving Backward,Slight Injury
10148,Over 51,Male,Junior high school,Below 1yr,No defect,Office areas,No junction,1,na,Changing lane to the right,Serious Injury
10149,18-30,Male,Junior high school,5-10yr,No defect,School areas,No junction,2,Male,Moving Backward,Serious Injury
10150,18-30,Male,High school,Above 10yr,,Residential areas,No junction,2,na,Changing lane to the right,Serious Injury
10151,18-30,Male,Junior high school,5-10yr,,Office areas,Y Shape,2,Female,Driving carelessly,Slight Injury
10152,18-30,Male,Elementary school,1-2yr,No defect,Residential areas,Y Shape,2,na,Changing lane to the right,Slight Injury
10153,18-30,Male,Junior high school,,No defect,Office areas,No junction,3,Male,No distancing,Slight Injury
10154,Over 51,Male,Above high school,1-2yr,No defect,Office areas,No junction,3,na,Moving Backward,Slight Injury
10155,Over 51,Male,Junior high school,Above 10yr,,Residential areas,No junction,3,Male,Driving carelessly,Slight Injury
10156,18-30,Male,Junior high school,1-2yr,,Other,Y Shape,1,Female,No distancing,Slight Injury
10157,31-50,Male,Junior high school,5-10yr,, Industrial areas,Y Shape,1,na,No priority to vehicle,Slight Injury
10158,31-50,Male,Junior high school,2-5yr,,Office areas,Y Shape,1,Male,Changing lane to the right,Slight Injury
10159,31-50,Male,,,,  Recreational areas,Y Shape,1,na,Moving Backward,Slight Injury
10160,31-50,Male,Junior high school,2-5yr,No defect,Residential areas,No junction,4,Male,Driving under the influence of drugs,Slight Injury
10161,Under 18,Male,Junior high school,2-5yr,,Residential areas,No junction,4,na,Changing lane to the right,Slight Injury
10162,31-50,Male,Junior high school,Above 10yr,, Church areas,No junction,4,Female,No priority to vehicle,Slight Injury
10163,31-50,Male,Junior high school,1-2yr,,Residential areas,No junction,4,Male,Changing lane to the left,Slight Injury
10164,31-50,Male,Above high school,1-2yr,No defect,,No junction,4,Male,Driving carelessly,Slight Injury
10165,18-30,Male,Above high school,No Licence,No defect,Other,No junction,2,na,No priority to pedestrian,Slight Injury
10166,18-30,Male,Junior high school,1-2yr,,Other,No junction,2,Female,No priority to pedestrian,Slight Injury
10167,31-50,Male,Junior high school,5-10yr,No defect, Church areas,No junction,2,Male,Changing lane to the right,Slight Injury
10168,18-30,Male,Junior high school,Above 10yr,No defect,Other,No junction,2,Male,Drunk driving,Serious Injury
10169,18-30,Male,Junior high school,Above 10yr,No defect, Church areas,No junction,2,na,Changing lane to the left,Serious Injury
10170,31-50,Male,Junior high school,5-10yr,No defect, Church areas,Crossing,1,Female,Changing lane to the left,Slight Injury
10171,Under 18,Male,Elementary school,2-5yr,No defect,Other,Crossing,1,na,Driving to the left,Slight Injury
10172,31-50,Male,Junior high school,2-5yr,No defect,Other,No junction,1,na,Changing lane to the left,Slight Injury
10173,Under 18,Male,Junior high school,Below 1yr,No defect,School areas,No junction,1,Male,Driving under the influence of drugs,Slight Injury
10174,31-50,Male,Junior high school,2-5yr,No defect,Residential areas,Unknown,1,na,No priority to pedestrian,Slight Injury
10175,31-50,Male,Junior high school,2-5yr,No defect,Other,Unknown,1,Female,Changing lane to the left,Slight Injury
10176,31-50,Male,Elementary school,5-10yr,No defect,Office areas,Y Shape,1,Female,Moving Backward,Slight Injury
10177,31-50,Male,Junior high school,Above 10yr,No defect,Residential areas,Crossing,1,na,No distancing,Serious Injury
10178,31-50,Male,,,No defect,Other,Crossing,1,Male,Changing lane to the right,Serious Injury
10179,Under 18,Male,Junior high school,2-5yr,No defect,Residential areas,Other,2,na,No priority to vehicle,Slight Injury
10180,Under 18,Male,Junior high school,5-10yr,No defect,Residential areas,Other,2,Male,Moving Backward,Slight Injury
10181,Over 51,Male,Above high school,2-5yr,No defect,Residential areas,Other,2,Male,Overtaking,Slight Injury
10182,Unknown,Female,,,No defect,Other,Y Shape,1,na,Changing lane to the left,Slight Injury
10183,18-30,Male,,1-2yr,No defect,Other,Y Shape,1,Female,Changing lane to the right,Slight Injury
10184,18-30,Male,Junior high school,2-5yr,No defect,Other,Y Shape,1,Female,Overtaking,Slight Injury
10185,31-50,Male,Junior high school,Above 10yr,No defect, Hospital areas,Y Shape,4,na,Overloading,Slight Injury
10186,18-30,Male,Junior high school,Below 1yr,No defect,Residential areas,Y Shape,4,Male,Other,Slight Injury
10187,18-30,Male,Junior high school,2-5yr,No defect,Residential areas,Y Shape,4,Male,No priority to vehicle,Slight Injury
10188,18-30,Male,Junior high school,Below 1yr,No defect,Residential areas,Y Shape,4,Male,Changing lane to the right,Slight Injury
10189,18-30,Male,High school,5-10yr,No defect,Other,Y Shape,4,Female,Moving Backward,Slight Injury
10190,18-30,Male,Above high school,1-2yr,No defect,Office areas,No junction,1,Female,Changing lane to the left,Slight Injury
10191,18-30,Male,Junior high school,Below 1yr,No defect,Other,No junction,1,Male,No priority to pedestrian,Slight Injury
10192,18-30,Male,,,No defect,Office areas,Y Shape,1,Male,No distancing,Slight Injury
10193,18-30,Male,High school,Below 1yr,No defect,Residential areas,Y Shape,1,na,No priority to vehicle,Slight Injury
10194,Over 51,Male,High school,Below 1yr,No defect,Office areas,Y Shape,2,Male,No distancing,Slight Injury
10195,18-30,Male,,,No defect,Office areas,Y Shape,2,na,No distancing,Slight Injury
10196,18-30,Male,High school,2-5yr,No defect,Other,Y Shape,2,na,Moving Backward,Slight Injury
10197,18-30,Male,Junior high school,Above 10yr,No defect,Office areas,No junction,1,Male,Changing lane to the right,Slight Injury
10198,31-50,Male,Junior high school,Above 10yr,No defect,Office areas,No junction,1,na,No priority to pedestrian,Slight Injury
10199,Under 18,Male,Junior high school,5-10yr,,Office areas,Y Shape,1,Female,Moving Backward,Slight Injury
10200,Unknown,Female,Junior high school,1-2yr,,Other,Y Shape,1,na,Getting off the vehicle improperly,Slight Injury
10201,18-30,Male,Unknown,Below 1yr,,Residential areas,No junction,1,Female,Overtaking,Serious Injury
10202,31-50,Male,Junior high school,Below 1yr,No defect,Residential areas,No junction,1,Female,Overloading,Serious Injury
10203,31-50,Male,High school,2-5yr,, Church areas,No junction,1,Male,Changing lane to the right,Serious Injury
10204,18-30,Male,Junior high school,1-2yr,,Other,Y Shape,2,na,Improper parking,Slight Injury
10205,31-50,Male,Junior high school,5-10yr,,Residential areas,Y Shape,2,na,Other,Slight Injury
10206,31-50,Male,Elementary school,2-5yr,,Other,Y Shape,2,na,Changing lane to the left,Slight Injury
10207,18-30,Male,Elementary school,5-10yr,,Residential areas,Crossing,1,Male,Changing lane to the right,Slight Injury
10208,31-50,Male,Junior high school,Above 10yr,,Residential areas,Crossing,1,na,No priority to pedestrian,Slight Injury
10209,18-30,Male,Junior high school,5-10yr,No defect,Other,No junction,3,Male,Overspeed,Slight Injury
10210,31-50,Male,High school,5-10yr,,Other,No junction,3,Male,Changing lane to the left,Slight Injury
10211,31-50,Male,Junior high school,5-10yr,No defect,Other,No junction,3,na,No priority to vehicle,Slight Injury
10212,Under 18,Male,Junior high school,Above 10yr,No defect,Other,No junction,1,Male,Changing lane to the right,Serious Injury
10213,Unknown,Female,Junior high school,1-2yr,,Residential areas,Y Shape,1,Female,No distancing,Slight Injury
10214,18-30,Male,Junior high school,2-5yr,,  Recreational areas,Y Shape,1,Female,No priority to pedestrian,Slight Injury
10215,18-30,Male,Junior high school,1-2yr,,Other,No junction,2,na,No distancing,Slight Injury
10216,Over 51,Male,,,,Office areas,No junction,2,Male,No priority to vehicle,Slight Injury
10217,Over 51,Male,Elementary school,5-10yr,,Other,No junction,2,Male,Other,Slight Injury
10218,31-50,Male,Junior high school,5-10yr,,Office areas,No junction,4,na,Driving carelessly,Fatal injury
10219,31-50,Male,Junior high school,Above 10yr,,Office areas,No junction,4,na,Changing lane to the left,Fatal injury
10220,18-30,Male,Junior high school,2-5yr,,Office areas,No junction,4,Female,Driving carelessly,Fatal injury
10221,18-30,Male,Junior high school,Above 10yr,No defect,Other,No junction,4,Female,Changing lane to the left,Fatal injury
10222,18-30,Male,Junior high school,2-5yr,,Other,No junction,1,na,No priority to vehicle,Slight Injury
10223,31-50,Male,Elementary school,5-10yr,No defect,Office areas,No junction,1,na,No distancing,Slight Injury
10224,Over 51,Male,Elementary school,5-10yr,,Residential areas,No junction,1,Male,Changing lane to the right,Slight Injury
10225,31-50,Male,Junior high school,5-10yr,,  Recreational areas,No junction,1,na,Changing lane to the right,Slight Injury
10226,31-50,Male,Junior high school,5-10yr,No defect,Other,No junction,1,Male,Driving at high speed,Slight Injury
10227,Over 51,Male,Elementary school,Above 10yr,No defect,Residential areas,No junction,1,Male,No distancing,Fatal injury
10228,31-50,Male,Junior high school,Below 1yr,No defect,Other,Y Shape,2,na,Changing lane to the right,Slight Injury
10229,Over 51,Male,Junior high school,5-10yr,,Other,Y Shape,2,Male,Changing lane to the left,Slight Injury
10230,Over 51,Male,Elementary school,1-2yr,,Other,Y Shape,1,na,Getting off the vehicle improperly,Slight Injury
10231,18-30,Male,,,No defect,Other,Y Shape,1,Female,Other,Slight Injury
10232,18-30,Male,Junior high school,Above 10yr,No defect,Other,Y Shape,1,Female,Other,Slight Injury
10233,31-50,Male,High school,2-5yr,No defect,School areas,No junction,1,Female,No distancing,Serious Injury
10234,Over 51,Male,Junior high school,1-2yr,No defect,Office areas,No junction,1,na,No priority to vehicle,Serious Injury
10235,Over 51,Male,Junior high school,1-2yr,No defect,Office areas,No junction,1,na,Overtaking,Slight Injury
10236,Over 51,Male,Above high school,2-5yr,No defect,Office areas,No junction,1,Male,No priority to pedestrian,Slight Injury
10237,18-30,Male,,,No defect,School areas,Crossing,1,Male,No distancing,Fatal injury
10238,18-30,Male,Elementary school,2-5yr,No defect,School areas,Crossing,1,na,Changing lane to the right,Fatal injury
10239,Under 18,Male,Junior high school,1-2yr,No defect,Office areas,Y Shape,1,Male,Driving carelessly,Serious Injury
10240,18-30,Male,,5-10yr,No defect,Office areas,Y Shape,1,Male,Changing lane to the right,Serious Injury
10241,31-50,Male,Junior high school,Below 1yr,No defect,School areas,Y Shape,1,na,Overtaking,Serious Injury
10242,18-30,Male,Junior high school,2-5yr,No defect,,No junction,1,na,Other,Slight Injury
10243,18-30,Male,Junior high school,5-10yr,No defect,Other,No junction,1,Male,Driving to the left,Slight Injury
10244,18-30,Male,Junior high school,Above 10yr,No defect,Other,No junction,1,Male,Driving at high speed,Slight Injury
10245,31-50,Male,Elementary school,2-5yr,No defect,Other,Y Shape,1,na,Unknown,Slight Injury
10246,18-30,Male,Elementary school,Above 10yr,No defect,Residential areas,Y Shape,1,Male,Changing lane to the right,Slight Injury
10247,Over 51,Male,Junior high school,1-2yr,No defect,Other,Y Shape,2,Male,No distancing,Slight Injury
10248,Over 51,Male,Junior high school,5-10yr,No defect,Other,Y Shape,2,na,Other,Slight Injury
10249,31-50,Male,Junior high school,2-5yr,No defect, Industrial areas,Y Shape,1,na,No priority to vehicle,Slight Injury
10250,18-30,Male,Junior high school,2-5yr,No defect,  Recreational areas,No junction,2,Male,Changing lane to the left,Slight Injury
10251,18-30,Male,Junior high school,2-5yr,No defect, Church areas,No junction,2,na,No priority to pedestrian,Slight Injury
10252,18-30,Male,Junior high school,2-5yr,,Office areas,Crossing,1,Male,Moving Backward,Serious Injury
10253,18-30,Male,Junior high school,Above 10yr,,Other,Crossing,1,Male,Overtaking,Serious Injury
10254,31-50,Male,Junior high school,Above 10yr,,Office areas,Y Shape,1,na,Changing lane to the left,Slight Injury
10255,31-50,Male,Elementary school,5-10yr,,Office areas,Y Shape,1,Male,Changing lane to the right,Slight Injury
10256,Over 51,Male,,,,Other,No junction,1,na,Overtaking,Slight Injury
10257,31-50,Male,,2-5yr,,Residential areas,No junction,1,na,Overloading,Slight Injury
10258,31-50,Male,Elementary school,5-10yr,,Office areas,No junction,1,Female,Other,Slight Injury
10259,Under 18,Male,Junior high school,5-10yr,No defect,Residential areas,No junction,1,Male,No priority to vehicle,Slight Injury
10260,31-50,Male,Junior high school,Above 10yr,,School areas,Crossing,1,na,Changing lane to the right,Serious Injury
10261,Under 18,Male,Junior high school,5-10yr,No defect,Office areas,Crossing,1,Female,Moving Backward,Serious Injury
10262,18-30,Male,Junior high school,Above 10yr,No defect,Other,Y Shape,2,Male,Changing lane to the left,Slight Injury
10263,18-30,Male,Elementary school,Below 1yr,No defect,Other,Y Shape,2,na,No priority to pedestrian,Slight Injury
10264,31-50,Male,Elementary school,5-10yr,No defect, Church areas,Y Shape,1,na,No distancing,Slight Injury
10265,Under 18,Male,Elementary school,1-2yr,No defect,Office areas,Y Shape,1,Male,No priority to vehicle,Slight Injury
10266,Over 51,Male,Elementary school,5-10yr,No defect,Other,O Shape,1,Male,No distancing,Slight Injury
10267,31-50,Male,Elementary school,5-10yr,No defect,Office areas,Y Shape,1,Male,No distancing,Slight Injury
10268,Under 18,Male,Elementary school,2-5yr,No defect,Office areas,Y Shape,1,Male,Moving Backward,Slight Injury
10269,18-30,Male,Elementary school,5-10yr,No defect,Office areas,Y Shape,2,na,Changing lane to the right,Slight Injury
10270,18-30,Male,,5-10yr,No defect, Church areas,Y Shape,2,Male,No priority to pedestrian,Slight Injury
10271,Over 51,Male,Junior high school,Above 10yr,No defect,Office areas,Y Shape,2,Male,Moving Backward,Slight Injury
10272,31-50,Male,Junior high school,Above 10yr,No defect,Other,Y Shape,1,Female,Getting off the vehicle improperly,Serious Injury
10273,Over 51,Male,Elementary school,Below 1yr,,Other,Y Shape,1,na,Overtaking,Serious Injury
10274,Under 18,Male,Elementary school,5-10yr,No defect, Church areas,Y Shape,1,Male,Overloading,Slight Injury
10275,Over 51,Male,Elementary school,5-10yr,,School areas,Y Shape,1,Male,Changing lane to the right,Slight Injury
10276,18-30,Male,Elementary school,2-5yr,, Church areas,Y Shape,1,Female,Improper parking,Slight Injury
10277,18-30,Male,Elementary school,Above 10yr,,Office areas,Y Shape,1,Male,Other,Slight Injury
10278,31-50,Male,Elementary school,2-5yr,No defect,Other,No junction,1,Male,Changing lane to the left,Serious Injury
10279,18-30,Male,Junior high school,Above 10yr,, Church areas,No junction,1,Male,Changing lane to the right,Slight Injury
10280,18-30,Male,Junior high school,Below 1yr,No defect,Other,Crossing,1,Male,No priority to pedestrian,Slight Injury
10281,31-50,Male,Junior high school,2-5yr,,Other,Crossing,1,Male,Overspeed,Slight Injury
10282,18-30,Male,Elementary school,5-10yr,No defect,Office areas,Crossing,5,Male,Changing lane to the left,Slight Injury
10283,18-30,Male,Elementary school,5-10yr,No defect,Other,Crossing,5,Male,No priority to vehicle,Slight Injury
10284,18-30,Male,Elementary school,1-2yr,No defect,Other,Crossing,5,Male,Changing lane to the right,Slight Injury
10285,Over 51,Male,Elementary school,,No defect,Residential areas,Crossing,5,na,No distancing,Slight Injury
10286,Over 51,Male,Junior high school,1-2yr,No defect,Residential areas,Crossing,5,Male,No priority to pedestrian,Slight Injury
10287,31-50,Male,,5-10yr,No defect,Office areas,No junction,1,na,No distancing,Slight Injury
10288,Unknown,Female,Elementary school,1-2yr,No defect,  Recreational areas,No junction,1,Male,No priority to vehicle,Slight Injury
10289,Unknown,Female,Junior high school,5-10yr,No defect,Office areas,No junction,1,na,Other,Slight Injury
10290,31-50,Male,Junior high school,2-5yr,No defect, Industrial areas,Y Shape,1,na,Driving carelessly,Slight Injury
10291,Under 18,Male,Junior high school,2-5yr,,,Y Shape,1,Male,Changing lane to the left,Slight Injury
10292,18-30,Male,Junior high school,5-10yr,No defect,Residential areas,No junction,1,Male,Driving carelessly,Serious Injury
10293,18-30,Male,Junior high school,Below 1yr,No defect,Residential areas,No junction,1,Female,Changing lane to the left,Serious Injury
10294,31-50,Male,High school,Below 1yr,No defect, Industrial areas,Crossing,1,na,No priority to vehicle,Slight Injury
10295,31-50,Male,Junior high school,,No defect,Residential areas,Crossing,1,na,No distancing,Slight Injury
10296,Over 51,Male,Junior high school,Below 1yr,No defect,Residential areas,No junction,1,Male,Changing lane to the right,Slight Injury
10297,31-50,Male,Junior high school,2-5yr,No defect,Office areas,No junction,1,Male,Changing lane to the right,Slight Injury
10298,18-30,Male,Junior high school,2-5yr,No defect,Office areas,No junction,1,Female,Driving at high speed,Slight Injury
10299,31-50,Male,Junior high school,5-10yr,No defect,Office areas,Y Shape,1,na,No distancing,Slight Injury
10300,31-50,Male,Elementary school,5-10yr,No defect,Office areas,Y Shape,1,Male,Changing lane to the right,Slight Injury
10301,31-50,Male,,5-10yr,No defect,Office areas,Y Shape,3,Male,Changing lane to the left,Slight Injury
10302,31-50,Male,Junior high school,5-10yr,No defect,Office areas,Y Shape,3,Female,Getting off the vehicle improperly,Slight Injury
10303,Over 51,Male,Junior high school,5-10yr,No defect,Office areas,Y Shape,3,na,Other,Slight Injury
10304,18-30,Male,Illiterate,2-5yr,No defect,Residential areas,Crossing,1,Female,Other,Slight Injury
10305,Under 18,Male,Junior high school,5-10yr,No defect,Residential areas,Crossing,1,Female,No distancing,Slight Injury
